date,day_index,article_index,title_preview,block,vector_norm,center_cosine,second_center_margin,pca_x,pca_y,vector_prefix,selection_reason
2026-07-05,1813,61,"Stephens Investment Management Group LLC Purchases 103,538 Shares of Rubrik, Inc. $RBRK。Stephens Investment Management Group LLC raised its position in Rubrik, Inc. (NYSE:RBRK - Free Report) by 17.4% during the first quarter, according to i…",150,0.9999999875910435,0.9474043142897799,0.025558776417435425,0.4729718317638767,-0.10394707561020043,"[-0.013101218268275261, -0.03468567505478859, -0.08253215998411179, -0.0338933989405632, -0.07704531401395798, -0.024309782311320305, 0.05723468214273453, 0.08876658976078033, 0.06575996428728104, -0.04186371713876724, 0.020596439018845558, 0.049214914441108704]",cluster_representative
2024-12-01,1232,63,UN halts aid shipments through Gaza's main crossing after looting. It blames the crisis on Israel。Kerem Shalom is the only crossing between Israel and Gaza that is designed for cargo shipments and has been the main artery for aid deliveries…,156,1.0000000540104925,0.9213413576537617,0.2970220613270518,-0.23897263543217276,0.19938367670812113,"[0.024061819538474083, 0.0948936715722084, -0.0169687382876873, -0.0463116317987442, 0.04195144400000572, 0.04164935648441315, 0.014987234026193619, -0.06274034082889557, 0.06554623693227768, 0.0750684142112732, 0.0029735593125224113, 0.013673324137926102]",cluster_representative
2022-06-25,345,76,"Jan. 6: Pressure, unsung heroes and Trump’s Watergate echoes | KTVE - myarklamiss.com。WASHINGTON (AP) — The House Jan. 6 committee launched under deep political skepticism: What more could be said about the deadly insurrection at the Capito…",54,1.000000014009707,0.926371645821698,0.14747839575983712,-0.34444979943112985,0.1654857089714739,"[0.02309459261596203, 0.04580133780837059, -0.049883611500263214, -0.007736280094832182, 0.051032956689596176, 0.04987586289644241, -0.010564148426055908, -0.028133466839790344, 0.0818309411406517, -0.009289130568504333, -0.0016439544269815087, 0.06579248607158661]",cluster_representative
2022-11-13,486,131,Assembled Joins Forces with Zoom to Empower Contact Center Users with Intelligent Workforce Management - NewsBreak。Related salestechstar.com Rangel’s extensive worldwide channel leadership experience to drive company’s hyper-growth with par…,57,1.0000000666802067,0.8954749969602049,0.0944349739808985,0.3260056302702889,0.23545637687147383,"[-0.08683813363313675, -0.06539499014616013, -0.06839101016521454, -0.05233202874660492, -0.048724547028541565, -0.008265500888228416, -0.009490741416811943, -0.012832204811275005, -0.019952526316046715, 0.013028549030423164, 0.04598299413919449, 0.06477832794189453]",cluster_representative
2021-11-07,115,144,"NFL midseason awards: Matthew Stafford on MVP pace。The Serby Midseason Awards discovered a way to include the Giants and Jets during yet another season of despair. A list of studs and duds, to be sure: MVP: Matthew Stafford (QB, Rams) A car…",148,1.0000000357794412,0.9378874323308626,0.08434604138643531,-0.18740942501529192,-0.531447905695413,"[-0.008990299887955189, 0.04683327674865723, -0.08955325931310654, -0.059306856244802475, 0.016552506014704704, 0.04270058125257492, 0.09783213585615158, 0.08028094470500946, 0.023411283269524574, -0.05993441864848137, -0.08619581162929535, -0.03615272790193558]",cluster_representative
2025-06-18,1431,0,"Market recap for the North American session - June 17。Log in to today’s North American session Recap for June 17. Today's session has seen a major reversal in sentiment, with headlines about the US potentially entering the conflict between…",177,1.0000000328956504,0.8671665102543884,0.05264607945941813,0.4333654451996052,0.05094799508763796,"[-0.02262035198509693, -0.010112224146723747, -0.005258640274405479, -0.011104395613074303, 0.03941139206290245, -0.04247092083096504, -0.04637470468878746, 0.04072941467165947, 0.07299816608428955, 0.01836247928440571, 0.013452273793518543, 0.012755216099321842]",cluster_representative
2022-01-13,182,156,"Associated Banc-Corp. Shares Approach 52-Week High - Market Mover | Nasdaq。Associated Banc-Corp. (ASB) shares closed today at 1.8% below its 52 week high of $25.55, giving the company a market cap of $3B. The stock is currently up 11.1% yea…",193,1.0000000435423702,0.9263458223739127,0.12229017475378523,0.5123233004868307,-0.09110014542941901,"[-0.01650766097009182, -0.048506345599889755, -0.011318054050207138, -0.019245559349656105, -0.024928366765379906, -0.0037440587766468525, -0.03033793717622757, 0.054583657532930374, 0.03468047454953194, -0.04191594943404198, 0.019509753212332726, 0.0655219554901123]",cluster_representative
2026-03-28,1714,89,"FDA approves Rocket’s Kresladi as first gene therapy for LAD-I | BioWorld。In a win for the rare disease space, the U.S. FDA granted accelerated approval for Rocket Pharmaceuticals Inc.’s Kresladi (marnetegragene autotemcel) as the first gen…",143,1.0000000625462413,0.869439525149607,0.1769292821512658,0.12135685067687332,0.20257488961500372,"[-0.08190405368804932, 0.03502226620912552, -0.04919135943055153, -0.07177482545375824, -0.03048197366297245, 0.017716659232974052, -0.022215720266103745, 0.11530774086713791, 0.02986888214945793, -0.02306411787867546, 0.07914280891418457, 0.04106268286705017]",cluster_representative
2022-01-28,197,14,"Nuggets' Markus Howard: Ruled out Sunday - NewsBreak。Related CBS Sports The embattled Los Angeles Lakers got a major boost on Tuesday night, when star big man Anthony Davis returned to the lineup in their 106-96 win over the Brooklyn Nets.…",68,0.9999999975373002,0.9422665094896583,0.12150461441629057,-0.059102101756080626,-0.6049330518077232,"[0.05369987711310387, -0.04855822026729584, -0.027603434398770332, -0.0643644779920578, -0.025407608598470688, 0.018889836966991425, 0.05131435766816139, 0.058746013790369034, 0.008695675991475582, -0.055933933705091476, -0.06980723887681961, -0.048490241169929504]",cluster_representative
2026-05-16,1763,52,"POCSO case: Police issue look out notice against Bandi Bageerath, raid home。Hyderabad: The Cyberabad Police on Saturday, May 16, issued a lookout notice against Bandi Sai Bageerath, who is accused in a Protection of Children from Sexual Off…",87,1.0000000385368308,0.9012259351166833,0.16383850255697086,-0.34202455185856834,0.1598003981305253,"[0.0008129386696964502, 0.04895453527569771, -0.05123182758688927, -0.05239441245794296, 0.03633240982890129, 0.02111327275633812, 0.08786888420581818, 0.03302557021379471, 0.0454571433365345, 0.009332951158285141, 0.0819796770811081, -0.013153215870261192]",cluster_representative
2024-09-17,1157,126,"3 AllianceBernstein Mutual Funds for Great Returns | Nasdaq。AllianceBernstein manages various mutual funds spanning equity, fixed-income, alternatives and multi-asset strategies. It has $725 billion in assets under its management and a pres…",161,1.0000000615692488,0.8609058994431504,0.06278026360694522,0.4797816469549916,0.08661290436156235,"[-0.045667022466659546, -0.046180546283721924, -0.07643386721611023, -0.04207359254360199, -0.023712074384093285, 0.03436970338225365, -0.0133265545591712, 0.07131528854370117, 0.010804164223372936, -0.0377257876098156, -0.003829463617876172, 0.057284269481897354]",cluster_representative
2021-09-04,51,69,"Transfer news LIVE: Erling Haaland updates, Wilshere denied Como switch, Saul Niguez first Chelsea training session。DEADLINE DAY did not disappoint as clubs scrambled to get last minute deals over the line. In one of the signings of the sum…",36,1.0000000530792665,0.9265648972047177,0.038536893577601816,-0.048053381056385146,-0.34366632400783076,"[0.002436425071209669, 0.00017065907013602555, -0.006556668784469366, -0.11214770376682281, 0.042597655206918716, -0.006092540454119444, 0.047219645231962204, 0.06220459192991257, 0.0074211000464856625, -0.00040807659388519824, -0.06189918518066406, -0.07360916584730148]",cluster_representative
